address;source_location;insn;indent
0x1b20;:0;PUSH	%R15;
0x1b22;:0;PUSH	%R14;
0x1b24;:0;PUSH	%RBX;
0x1b25;:0;TEST	%EDI,%EDI;
0x1b27;:0;JE	1be1 <kernel+0xc1>;
0x1b2d;:0;MOV	%EDI,%EAX;
0x1b2f;:0;MOV	%EAX,%R8D;
0x1b32;:0;AND	$-0x2,%R8D;
0x1b36;:0;MOV	%RAX,%R9;
0x1b39;:0;SAL	$0x4,%R9;
0x1b3d;:0;XOR	%R10D,%R10D;
0x1b40;:0;MOV	%RCX,%R11;
0x1b43;:0;JMP	1b60 <kernel+0x40>;
0x1b45;:0;NOPW	%CS:(%RAX,%RAX,1);
0x1b50;:0;INC	%R10;(1) 
0x1b53;:0;ADD	$0x8,%R11;(1) 
0x1b57;:0;CMP	%RAX,%R10;(1) 
0x1b5a;:0;JE	1be1 <kernel+0xc1>;(1) 
0x1b60;:0;CMP	$0x1,%EDI;(1) 
0x1b63;:0;JNE	1b70 <kernel+0x50>;(1) 
0x1b65;:0;XOR	%EBX,%EBX;(1) 
0x1b67;:0;JMP	1bb8 <kernel+0x98>;(1) 
0x1b69;:0;NOPL	(%RAX);
0x1b70;:0;MOV	%R11,%R14;(1) 
0x1b73;:0;XOR	%EBX,%EBX;(1) 
0x1b75;:0;NOPW	%CS:(%RAX,%RAX,1);(1) 
0x1b80;:0;MOVSD	(%R14),%XMM0;  (0) 
0x1b85;:0;DIVSD	(%RDX,%RBX,8),%XMM0;  (0) 
0x1b8a;:0;ADDSD	(%RSI,%RBX,8),%XMM0;  (0) 
0x1b8f;:0;MOVSD	%XMM0,(%RSI,%RBX,8);  (0) 
0x1b94;:0;MOVSD	(%R14,%RAX,8),%XMM0;  (0) 
0x1b9a;:0;DIVSD	0x8(%RDX,%RBX,8),%XMM0;  (0) 
0x1ba0;:0;ADDSD	0x8(%RSI,%RBX,8),%XMM0;  (0) 
0x1ba6;:0;MOVSD	%XMM0,0x8(%RSI,%RBX,8);  (0) 
0x1bac;:0;ADD	$0x2,%RBX;  (0) 
0x1bb0;:0;ADD	%R9,%R14;  (0) 
0x1bb3;:0;CMP	%RBX,%R8;  (0) 
0x1bb6;:0;JNE	1b80 <kernel+0x60>;  (0) 
0x1bb8;:0;TEST	$0x1,%AL;(1) 
0x1bba;:0;JE	1b50 <kernel+0x30>;(1) 
0x1bbc;:0;LEA	(%RCX,%R10,8),%R14;(1) 
0x1bc0;:0;MOV	%RBX,%R15;(1) 
0x1bc3;:0;IMUL	%RAX,%R15;(1) 
0x1bc7;:0;MOVSD	(%R14,%R15,8),%XMM0;(1) 
0x1bcd;:0;DIVSD	(%RDX,%RBX,8),%XMM0;(1) 
0x1bd2;:0;ADDSD	(%RSI,%RBX,8),%XMM0;(1) 
0x1bd7;:0;MOVSD	%XMM0,(%RSI,%RBX,8);(1) 
0x1bdc;:0;JMP	1b50 <kernel+0x30>;(1) 
0x1be1;:0;POP	%RBX;
0x1be2;:0;POP	%R14;
0x1be4;:0;POP	%R15;
0x1be6;:0;RET;
0x1be7;:0;INT	$0x3;
0x1be8;:0;INT	$0x3;
0x1be9;:0;INT	$0x3;
0x1bea;:0;INT	$0x3;
0x1beb;:0;INT	$0x3;
0x1bec;:0;INT	$0x3;
0x1bed;:0;INT	$0x3;
0x1bee;:0;INT	$0x3;
0x1bef;:0;INT	$0x3;
