address;source_location;insn;indent
0x1830;:0;ENDBR64;
0x1834;:0;PUSH	%RBP;
0x1835;:0;MOV	%RSP,%RBP;
0x1838;:0;PUSH	%R15;
0x183a;:0;PUSH	%R14;
0x183c;:0;PUSH	%R13;
0x183e;:0;PUSH	%R12;
0x1840;:0;PUSH	%RBX;
0x1841;:0;MOV	%EDI,%R15D;
0x1844;:0;AND	$-0x20,%RSP;
0x1848;:0;MOV	%EDI,-0xc(%RSP);
0x184c;:0;TEST	%R15D,%R15D;
0x184f;:0;JE	1a10 <kernel+0x1e0>;
0x1855;:0;LEA	-0x1(%R15),%EAX;
0x1859;:0;MOV	%RDX,%RDI;
0x185c;:0;LEA	(,%R15,8),%RDX;
0x1864;:0;MOV	%RCX,%R10;
0x1867;:0;MOV	%EAX,-0x2c(%RSP);
0x186b;:0;MOV	%RDX,%RBX;
0x186e;:0;LEA	-0x1(%R15),%RAX;
0x1872;:0;MOV	%R15,%RCX;
0x1875;:0;IMUL	%RAX,%RBX;
0x1879;:0;LEA	(%RSI,%RAX,8),%RAX;
0x187d;:0;MOV	%RSI,%R8;
0x1880;:0;MOV	%R15,%R12;
0x1883;:0;MOV	%RAX,-0x20(%RSP);
0x1888;:0;MOV	%R15D,%EAX;
0x188b;:0;AND	$0x3,%ECX;
0x188e;:0;MOV	%R15,-0x8(%RSP);
0x1893;:0;SHR	$0x2,%EAX;
0x1896;:0;MOV	%R10,%R11;
0x1899;:0;SAL	$0x5,%R12;
0x189d;:0;XOR	%R9D,%R9D;
0x18a0;:0;DEC	%EAX;
0x18a2;:0;MOV	%RBX,-0x28(%RSP);
0x18a7;:0;LEA	(%R15,%R15,2),%RBX;
0x18ab;:0;MOV	%ECX,-0x34(%RSP);
0x18af;:0;INC	%RAX;
0x18b2;:0;SAL	$0x3,%RBX;
0x18b6;:0;SAL	$0x5,%RAX;
0x18ba;:0;MOV	%RAX,%R14;
0x18bd;:0;MOV	%R15D,%EAX;
0x18c0;:0;AND	$-0x4,%EAX;
0x18c3;:0;MOV	%R14,%R15;
0x18c6;:0;MOV	%EAX,-0x30(%RSP);
0x18ca;:0;LEA	0x8(%RDI),%RAX;
0x18ce;:0;SUB	%RAX,%R8;
0x18d1;:0;MOV	%R8,-0x18(%RSP);
0x18d6;:0;NOPW	%CS:(%RAX,%RAX,1);
0x18e0;:0;CMPQ	$0x10,-0x18(%RSP);(11) 
0x18e6;:0;MOV	%R9D,%ECX;(11) 
0x18e9;:0;SETA	%R8B;(11) 
0x18ed;:0;CMPL	$0x1,-0xc(%RSP);(11) 
0x18f2;:0;SETNE	%AL;(11) 
0x18f5;:0;TEST	%AL,%R8B;(11) 
0x18f8;:0;JE	1a20 <kernel+0x1f0>;(11) 
0x18fe;:0;MOV	-0x28(%RSP),%RAX;(11) 
0x1903;:0;ADD	%R11,%RAX;(11) 
0x1906;:0;CMP	%RAX,%RSI;(11) 
0x1909;:0;SETA	%R8B;(11) 
0x190d;:0;CMP	%R11,-0x20(%RSP);(11) 
0x1912;:0;SETB	%AL;(11) 
0x1915;:0;OR	%R8B,%AL;(11) 
0x1918;:0;JE	1a20 <kernel+0x1f0>;(11) 
0x191e;:0;CMPL	$0x2,-0x2c(%RSP);(11) 
0x1923;:0;JBE	1a50 <kernel+0x220>;(11) 
0x1929;:0;MOV	%R11,%R8;(11) 
0x192c;:0;XOR	%EAX,%EAX;(11) 
0x192e;:0;XCHG	%AX,%AX;(11) 
0x1930;:0;VMOVSD	(%R8,%RDX,2),%XMM1;  (12) 
0x1936;:0;VMOVSD	(%R8),%XMM0;  (12) 
0x193b;:0;VMOVHPD	(%R8,%RBX,1),%XMM1,%XMM1;  (12) 
0x1941;:0;VMOVHPD	(%R8,%RDX,1),%XMM0,%XMM0;  (12) 
0x1947;:0;ADD	%R12,%R8;  (12) 
0x194a;:0;VINSERTF128	$0x1,%XMM1,%YMM0,%YMM0;  (12) 
0x1950;:0;VDIVPD	(%RDI,%RAX,1),%YMM0,%YMM0;  (12) 
0x1955;:0;VADDPD	(%RSI,%RAX,1),%YMM0,%YMM0;  (12) 
0x195a;:0;VMOVUPD	%YMM0,(%RSI,%RAX,1);  (12) 
0x195f;:0;ADD	$0x20,%RAX;  (12) 
0x1963;:0;CMP	%RAX,%R15;  (12) 
0x1966;:0;JNE	1930 <kernel+0x100>;  (12) 
0x1968;:0;MOV	-0x30(%RSP),%EAX;(11) 
0x196c;:0;CMP	%EAX,-0xc(%RSP);(11) 
0x1970;:0;JE	19fb <kernel+0x1cb>;(11) 
0x1976;:0;MOV	-0x34(%RSP),%R14D;(11) 
0x197b;:0;MOV	%R14D,-0x10(%RSP);(11) 
0x1980;:0;CMP	$0x1,%R14D;(11) 
0x1984;:0;JE	19d2 <kernel+0x1a2>;(11) 
0x1986;:0;MOV	-0x8(%RSP),%R13;(11) 
0x198b;:0;MOV	%EAX,%R8D;(11) 
0x198e;:0;IMUL	%R8,%R13;(11) 
0x1992;:0;SAL	$0x3,%R8;(11) 
0x1996;:0;ADD	%R9,%R13;(11) 
0x1999;:0;LEA	(%R10,%R13,8),%R14;(11) 
0x199d;:0;LEA	(%RSI,%R8,1),%R13;(11) 
0x19a1;:0;VMOVSD	(%R14),%XMM0;(11) 
0x19a6;:0;VMOVHPD	(%R14,%RDX,1),%XMM0,%XMM0;(11) 
0x19ac;:0;VDIVPD	(%RDI,%R8,1),%XMM0,%XMM0;(11) 
0x19b2;:0;MOV	-0x10(%RSP),%R14D;(11) 
0x19b7;:0;MOV	%R14D,%R8D;(11) 
0x19ba;:0;AND	$-0x2,%R8D;(11) 
0x19be;:0;ADD	%R8D,%EAX;(11) 
0x19c1;:0;VADDPD	(%R13),%XMM0,%XMM0;(11) 
0x19c7;:0;VMOVUPD	%XMM0,(%R13);(11) 
0x19cd;:0;CMP	%R8D,%R14D;(11) 
0x19d0;:0;JE	19fb <kernel+0x1cb>;(11) 
0x19d2;:0;LEA	(,%RAX,8),%R13;(11) 
0x19da;:0;IMUL	%RDX,%RAX;(11) 
0x19de;:0;LEA	(%R10,%RCX,8),%RCX;(11) 
0x19e2;:0;LEA	(%RSI,%R13,1),%R8;(11) 
0x19e6;:0;VMOVSD	(%RCX,%RAX,1),%XMM0;(11) 
0x19eb;:0;VDIVSD	(%RDI,%R13,1),%XMM0,%XMM0;(11) 
0x19f1;:0;VADDSD	(%R8),%XMM0,%XMM0;(11) 
0x19f6;:0;VMOVSD	%XMM0,(%R8);(11) 
0x19fb;:0;INC	%R9;(11) 
0x19fe;:0;ADD	$0x8,%R11;(11) 
0x1a02;:0;CMP	%R9,-0x8(%RSP);(11) 
0x1a07;:0;JNE	18e0 <kernel+0xb0>;(11) 
0x1a0d;:0;VZEROUPPER;
0x1a10;:0;LEA	-0x28(%RBP),%RSP;
0x1a14;:0;POP	%RBX;
0x1a15;:0;POP	%R12;
0x1a17;:0;POP	%R13;
0x1a19;:0;POP	%R14;
0x1a1b;:0;POP	%R15;
0x1a1d;:0;POP	%RBP;
0x1a1e;:0;RET;
0x1a1f;:0;NOP;
0x1a20;:0;MOV	-0x8(%RSP),%R8;(11) 
0x1a25;:0;MOV	%R11,%RCX;(11) 
0x1a28;:0;XOR	%EAX,%EAX;(11) 
0x1a2a;:0;NOPW	(%RAX,%RAX,1);(11) 
0x1a30;:0;VMOVSD	(%RCX),%XMM0;  (10) 
0x1a34;:0;ADD	%RDX,%RCX;  (10) 
0x1a37;:0;VDIVSD	(%RDI,%RAX,8),%XMM0,%XMM0;  (10) 
0x1a3c;:0;VADDSD	(%RSI,%RAX,8),%XMM0,%XMM0;  (10) 
0x1a41;:0;VMOVSD	%XMM0,(%RSI,%RAX,8);  (10) 
0x1a46;:0;INC	%RAX;  (10) 
0x1a49;:0;CMP	%R8,%RAX;  (10) 
0x1a4c;:0;JNE	1a30 <kernel+0x200>;  (10) 
0x1a4e;:0;JMP	19fb <kernel+0x1cb>;(11) 
0x1a50;:0;MOV	-0xc(%RSP),%EAX;(11) 
0x1a54;:0;MOV	%EAX,-0x10(%RSP);(11) 
0x1a58;:0;XOR	%EAX,%EAX;(11) 
0x1a5a;:0;JMP	1986 <kernel+0x156>;(11) 
0x1a5f;:0;NOP;
